lib_mrq,lib_mod_doss,lib_mod,dscom,cnit,tvv,cod_cbr,hybride,puiss_admin_98,puiss_max,typ_boite_nb_rapp,conso_urb,conso_exurb,conso_mixte,co2,co_typ_1,hc,nox,hcnox,ptcl,masse_ordma_min,masse_ordma_max,champ_v9,date_maj,Carrosserie,gamme,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
MERCEDES,VIANO,VIANO,VIANO 2.2 CDI,M10MCDVP6065983,639/2LAA31280N2A2C2T27,GO,non,10,120.0,A 5,10,"6,800000191",8.0,211.0,"0,041999999",,"0,189999998","0,201000005","0,001",2076,2185,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MERCEDES,CLASSE E,E 200,E 200 CDI BERLINE BVM6 FAP,M10MCDVPGW7G590,212J0S1M0KRCCA5A2,GO,non,7,100.0,M 6,6,"4,5",,134.0,"0,270999998",,"0,162","0,180000007",0,1735,1735,"""715/2007*195/2013EURO5",,BERLINE,LUXE,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L1H2 TDI (136ch),M10VWGVPC48P076,2EC2KM4C1320NNEC24UA7,GO,non,9,100.0,M 6,"9,399999619","7,199999809",,208.0,"0,136999995",,"0,214000002","0,238000005","0,001",1982,2709,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
RENAULT,MEGANE,MEGANE,MEGANE Berline dCi (110ch) EDC eco2,M10RENVP377N545,BZS00E,GO,non,6,81.0,A 6,"5,099999905","3,700000048",,110.0,"0,143999994",,"0,134000003","0,147",0,1365,1365,715/2007*195/2013EURO5,mars-14,BERLINE,MOY-INFER,,,,
AUDI,RS 6 AVANT,A6,RS 6 AVANT V8 4.0 TFSI (560ch) QUATTRO TIPTRONIC 8,M10AUDVP0071383,4GACRDBQ1QA8BK005R4GR3S57MJEM2FL,ES,non,47,412.0,A 8,"13,89999962","7,5",,229.0,"0,488000005","0,041000001","0,015",,"0,002",2010,2010,"""715/2007*630/2012EURO5",,BREAK,LUXE,,,,
NISSAN,PRIMASTAR,PRIMASTAR,PRIMASTAR COMBI 3.1t 9PL 2.0 dCi (115ch) FAP L2H1,M10NSSVP013R463,J4B7BS,GO,non,7,84.0,M 6,"8,800000191","6,5",,190.0,"0,225999996",,"0,180000007","0,209999993",0,1982,2304,"""715/2007*630/2012EURO5",,MINIBUS,MOY-INFER,,,,
FIAT,PANDA,PANDA,PANDA III 0.9 TwinAir Turbo GNV (80ch) Euro 6,M10FATVP0262849,312PXG1AP1V,GN/ES,non,4,59.0,M 5,"6,099999905",4,,86.0,"0,257999986","0,055","0,030999999",,,1155,1155,715/2007*195/2013EURO6,mars-14,BERLINE,INFERIEURE,,,,
MERCEDES,VIANO,VIANO,VIANO 3.0 CDI,M10MCDVP6050009,639/2LAB61305N2A1C2W27,GO,non,15,165.0,A 5,"10,89999962","7,099999905",,224.0,"0,361000001",,"0,256999999","0,289000005",0,2586,2600,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 30 L2H2 TDI (136ch),M10VWGVPE295796,2EC1KM4C1319NMEB14VA7,GO,non,9,100.0,M 6,"8,600000381","6,900000095",,197.0,"0,393000007",,"0,232999995","0,266000003","0,001",2041,2739,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L2H1 TDI (163ch),M10VWGVPC51E000,2EC2KN4D1349NMEA24WE9,GO,non,10,120.0,M 6,"8,5","6,900000095",,197.0,"0,409000009",,"0,213","0,25","0,001",2028,2801,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L1H2 TDI (136ch) BlueMotion,M10VWGVPE05K756,2EC2KM4C1320ENED25TB7,GO,non,9,100.0,M 6,"9,300000191","7,300000191",8.0,209.0,"0,136999995",,"0,214000002","0,238999993","0,001",1982,2709,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
